f,CIDADE
CAPITAL,Proto Alegre
METROPOLITANO,Canoas
METROPOLITANO, Esteio
METROPOLITANO, Nova Santa Rita
METROPOLITANO, Sapucaia do Sul
VALE DO RIO DOS SINOS,Araricá
VALE DO RIO DOS SINOS, Campo Bom
VALE DO RIO DOS SINOS, Capela de Santana
VALE DO RIO DOS SINOS, Dois Irmãos
VALE DO RIO DOS SINOS, Estância Velha
VALE DO RIO DOS SINOS, Ivoti
VALE DO RIO DOS SINOS, Lindolfo Collor
VALE DO RIO DOS SINOS, Morro Reuter
VALE DO RIO DOS SINOS, Nova Hartz
VALE DO RIO DOS SINOS, Novo Hamburgo
VALE DO RIO DOS SINOS, Parobé
VALE DO RIO DOS SINOS, Portão
VALE DO RIO DOS SINOS, Presidente Lucena
VALE DO RIO DOS SINOS, Santa Maria do Herval
VALE DO RIO DOS SINOS, São Leopoldo 
VALE DO RIO DOS SINOS,Sapiranga
CENTRO SUL,Amaral Ferrador
CENTRO SUL, Arambaré
CENTRO SUL, Arroio dos Ratos
CENTRO SUL, Barão do Triunfo
CENTRO SUL, Barra do Ribeiro
CENTRO SUL, Butiá
CENTRO SUL, Camaquã
CENTRO SUL, Cerro Grande do Sul
CENTRO SUL, Charqueadas
CENTRO SUL, Chuvisca
CENTRO SUL, Cristal
CENTRO SUL, Dom Feliciano
CENTRO SUL, Eldorado do Sul
CENTRO SUL, General Câmara
CENTRO SUL, Guaíba
CENTRO SUL, Mariana Pimentel
CENTRO SUL, Minas do Leão
CENTRO SUL, São Jerônimo
CENTRO SUL, São Lourenço do Sul
CENTRO SUL, Sentinela do Sul
CENTRO SUL, Sertão Santana 
CENTRO SUL,Tapes
CENTRAL,Agudo
CENTRAL, Caçapava do Sul
CENTRAL, Cachoeira do Sul
CENTRAL, Cerro Branco
CENTRAL, Dilermando de Aguiar
CENTRAL, Dona Francisca
CENTRAL, Faxinal do Soturno
CENTRAL, Formigueiro
CENTRAL, Itaara
CENTRAL, Ivorá
CENTRAL, Jari
CENTRAL, Júlio de Castilhos
CENTRAL, Nova Palma
CENTRAL, Novo Cabrais
CENTRAL, Paraíso do Sul
CENTRAL, Pinhal Grande
CENTRAL, Quevedos
CENTRAL, Restinga Seca
CENTRAL, Santa Maria
CENTRAL, Santana da Boa Vista
CENTRAL, São João do Polesine
CENTRAL, São Martinho da Serra
CENTRAL, São Pedro do Sul
CENTRAL, São Sepé
CENTRAL, Silveira Martins
CENTRAL, Toropi 
CENTRAL,Tupanciretã
SERRA,Antônio Prado
SERRA, Bento Gonçalves
SERRA, Boa Vista do Sul
SERRA, Carlos Barbosa
SERRA, Caxias do Sul
SERRA, Coronel Pilar
SERRA, Cotiporã
SERRA, Fagundes Varela
SERRA, Farroupilha
SERRA, Flores da Cunha
SERRA, Garibaldi
SERRA, Monte Belo do Sul
SERRA, Nova Pádua
SERRA, Nova Roma do Sul
SERRA, Pinto Bandeira
SERRA, Santa Tereza
SERRA, São Marcos
SERRA, Veranópolis
SERRA,Vila Flores
PLANALTO,Água Santa
PLANALTO, Almirante Tamadaré do Sul
PLANALTO, Alto Alegre
PLANALTO, Anta Gorda
PLANALTO, Arvorezinha
PLANALTO, Barra Funda
PLANALTO, Barros Cassal
PLANALTO, Camargo
PLANALTO, Campos Borges
PLANALTO, Carazinho
PLANALTO, Casca
PLANALTO, Chapada
PLANALTO, Charrua
PLANALTO, Ciríaco
PLANALTO, Colorado
PLANALTO, Constantina
PLANALTO, Coqueiros do Sul
PLANALTO, Coxilha
PLANALTO, David Canabarro
PLANALTO, Dois Lajeados
PLANALTO, Engenho Velho
PLANALTO, Ernestina
PLANALTO, Espumoso
PLANALTO, Fontoura Xavier
PLANALTO, Gentil
PLANALTO, Guaporé
PLANALTO, Ibirapuitã
PLANALTO, Ilópolis
PLANALTO, Itapuca
PLANALTO, Lagoa dos Três Cantos
PLANALTO, Liberato Salzano
PLANALTO, Marau
PLANALTO, Mato Castelhano
PLANALTO, Montauri
PLANALTO, Mormaço
PLANALTO, Muliterno
PLANALTO, Não-Me-Toque
PLANALTO, Nicolau Vergueiro
PLANALTO, Nova Alvorada
PLANALTO, Nova Boa Vista
PLANALTO, Novo Xingú
PLANALTO, Passo Fundo
PLANALTO, Pontão
PLANALTO, Putinga
PLANALTO, Ronda Alta
PLANALTO, Rondinha
PLANALTO, Santa Cecília do Sul
PLANALTO, Santo Antônio do Palma
PLANALTO, Santo Antônio do Planalto
PLANALTO, São Domingos do Sul
PLANALTO, São José do Herval
PLANALTO, São Valentim do Sul
PLANALTO, Sarandi
PLANALTO, Serafina Corrêa
PLANALTO, Sertão
PLANALTO, Soledade
PLANALTO, Tapejara
PLANALTO, Tapera
PLANALTO, Tio Hugo
PLANALTO, Três Palmeiras
PLANALTO, União da Serra
PLANALTO, Vanini
PLANALTO, Victor Graeff
PLANALTO, Vila Lângaro 
PLANALTO,Vila Maria
FRONTEIRA NOROESTE,Alecrim
FRONTEIRA NOROESTE, Alegria
FRONTEIRA NOROESTE, Barra do Guarita
FRONTEIRA NOROESTE, Boa Vista do Buricá
FRONTEIRA NOROESTE, Bom Progresso
FRONTEIRA NOROESTE, Braga
FRONTEIRA NOROESTE, Campina das Missões
FRONTEIRA NOROESTE, Campo Novo
FRONTEIRA NOROESTE, Cândido Godói
